data,usd_brl,ibovespa,dxy,vix,petroleo_wti,soja,selic,embi_brasil,ipca_mensal,usd_brl_retorno,usd_brl_volatilidade,ipca_acumulado_12m
2010-01-31,1.8729000091552732,65402.0,79.45999908447266,24.6200008392334,72.88999938964844,914.0,8.75,234.0,0.75,,,
2010-02-28,1.805999994277954,66503.0,80.36000061035156,19.5,79.66000366210938,951.0,8.75,215.0,0.78,-0.03572001417603321,,
2010-03-31,1.780500054359436,70372.0,81.06999969482422,17.59000015258789,83.76000213623047,941.0,8.75,185.0,0.52,-0.014119568105930735,,
2010-04-30,1.728700041770935,67530.0,81.87000274658203,22.049999237060547,86.1500015258789,989.5,9.5,196.0,0.57,-0.02909295760012598,0.011065709362956639,
2010-05-31,1.8143999576568604,63047.0,86.4800033569336,32.06999969482422,73.97000122070312,937.75,9.5,235.0,0.43,0.049574775157714246,0.04177276611619681,
2010-06-30,1.7908999919891355,60936.0,86.0199966430664,34.540000915527344,75.62999725341797,948.5,10.25,248.0,0.0,-0.012951921415426448,0.04155063780241396,
2010-07-31,1.7584999799728394,67515.0,81.54000091552734,23.5,78.94999694824219,1052.5,10.75,214.0,0.01,-0.01809146918377602,0.03767121659590829,
2010-08-31,1.7549999952316284,65145.0,83.19999694824219,26.049999237060547,71.91999816894531,1008.0,10.75,233.0,0.04,-0.0019903240153946733,0.00822413566438059,
2010-09-30,1.7035000324249268,69430.0,78.72000122070312,23.700000762939453,79.97000122070312,1106.75,10.75,206.0,0.45,-0.029344708231696992,0.013748603569429833,
2010-10-31,1.7135000228881836,70673.0,77.2699966430664,21.200000762939453,81.43000030517578,1226.0,10.75,175.0,0.75,0.005870261387093567,0.01848488221933103,
2010-11-30,1.7170000076293943,67705.0,81.19999694824219,23.540000915527344,84.11000061035156,1243.0,10.75,198.0,0.83,0.0020425939273180926,0.019321438267100612,
2010-12-31,1.6619999408721924,69305.0,79.02999877929688,17.75,91.37999725341795,1393.75,10.75,189.0,0.63,-0.032032653764014096,0.020866258730145863,5.76
2011-01-31,1.6342999935150146,66575.0,77.73999786376953,19.530000686645508,92.19000244140624,1413.0,11.25,179.0,0.83,-0.01666663558522219,0.01706493621850328,5.84
2011-02-28,1.659999966621399,67383.0,76.88999938964844,18.350000381469727,96.97000122070312,1357.25,11.25,177.0,0.8,0.015725370622506896,0.024379586659526095,5.859999999999999
2011-03-31,1.628499984741211,68587.0,75.86000061035156,17.739999771118164,106.72000122070312,1410.25,11.75,173.0,0.79,-0.018975893080467876,0.01940254467384928,6.13
2011-04-30,1.586300015449524,66133.0,72.93000030517578,14.75,113.93000030517578,1392.75,12.0,169.0,0.77,-0.025913398641138508,0.02230879419936912,6.33
2011-05-31,1.593000054359436,64620.0,74.63999938964844,15.449999809265137,102.6999969482422,1376.0,12.0,175.0,0.47,0.004223689620284965,0.015782868928948646,6.37
2011-06-30,1.569700002670288,62404.0,74.30000305175781,16.520000457763672,95.41999816894533,1306.25,12.25,148.0,0.15,-0.014626522846238776,0.015225899886484049,6.5200000000000005
2011-07-31,1.562800049781799,58823.0,73.9000015258789,25.25,95.6999969482422,1354.25,12.5,157.0,0.16,-0.004395714389215266,0.009436578451221792,6.670000000000001
2011-08-31,1.58650004863739,56495.0,74.12999725341797,31.6200008392334,88.80999755859375,1449.0,12.5,194.0,0.37,0.015165087087692264,0.015137340247209833,7.0
2011-09-30,1.8277000188827517,52324.0,78.55000305175781,42.959999084472656,79.19999694824219,1179.0,12.0,275.0,0.53,0.15203275313639164,0.08523032364955478,7.08
2011-10-31,1.6871000528335571,58338.0,76.16999816894531,29.959999084472656,93.19000244140624,1207.5,11.5,222.0,0.43,-0.0769272662891044,0.11520738550936352,6.760000000000001
2011-11-30,1.8415000438690183,56875.0,78.38999938964844,27.799999237060547,100.36000061035156,1131.25,11.5,228.0,0.52,0.09151798126977706,0.11864409630948408,6.45
2011-12-31,1.8652000427246092,56754.0,80.16999816894531,23.399999618530277,98.83000183105467,1198.5,11.0,223.0,0.5,0.01286994205321701,0.084284097080308,6.32
2012-01-31,1.7462999820709229,63072.0,79.27999877929688,19.440000534057617,98.4800033569336,1199.0,10.5,224.0,0.56,-0.0637465461774287,0.07763447883598534,6.050000000000001
2012-02-29,1.697700023651123,65812.0,78.7300033569336,18.43000030517578,107.06999969482422,1313.5,10.5,196.0,0.45,-0.02783024618838137,0.038333127963076176,5.7
2012-03-31,1.8207999467849727,64511.0,78.93000030517578,15.5,103.0199966430664,1403.0,9.75,177.0,0.21,0.07250982000289263,0.07062094450047886,5.12
2012-04-30,1.8860000371932983,61820.0,78.79000091552734,17.149999618530273,104.87000274658205,1503.0,9.0,188.0,0.64,0.03580848655199653,0.050769093395398784,4.99
2012-05-31,2.014899969100952,54490.0,83.04000091552734,24.059999465942383,86.52999877929688,1340.0,8.5,244.0,0.36,0.06834566774424866,0.020095589072582052,4.88
2012-06-30,2.0768001079559326,54355.0,81.6500015258789,17.079999923706055,84.95999908447266,1512.75,8.5,208.0,0.08,0.030721196984582866,0.02041302474330666,4.81
2012-07-31,2.040299892425537,56097.0,82.63999938964844,18.93000030517578,88.05999755859375,1721.0,8.0,183.0,0.43,-0.01757521842885512,0.04307076197473131,5.08
2012-08-31,2.0455000400543213,57061.0,81.25,17.469999313354492,96.47000122070312,1764.5,7.5,181.0,0.41,0.002548717297927272,0.024259723626544907,5.12
2012-09-30,2.0269999504089355,59176.0,79.94000244140625,15.729999542236328,92.19000244140624,1601.0,7.5,166.0,0.57,-0.009044287109813198,0.01010072051475993,5.16
2012-10-31,2.0290000438690186,57068.0,79.91999816894531,18.600000381469727,86.23999786376953,1547.0,7.25,158.0,0.59,0.0009867259541271878,0.006290982849085448,5.319999999999999
2012-11-30,2.095599889755249,57475.0,80.1500015258789,15.869999885559082,88.91000366210938,1438.75,7.25,153.0,0.6,0.032823974591559946,0.02186009668240785,5.4
2012-12-31,2.045099973678589,60952.0,79.7699966430664,18.020000457763672,91.81999969482422,1418.75,7.25,142.0,0.79,-0.02409807154673893,0.02852769649256603,5.6899999999999995
2013-01-31,1.9882999658584597,59761.0,79.20999908447266,14.279999732971191,97.48999786376952,1468.5,7.25,155.0,0.86,-0.02777370717870631,0.03397476678801504,5.989999999999999
2013-02-28,1.9744000434875488,57424.0,81.9800033569336,15.510000228881836,92.0500030517578,1474.25,7.25,178.0,0.6,-0.006990857823059637,0.011091241935465089,6.140000000000001
2013-03-31,2.019200086593628,56352.0,82.98999786376953,12.699999809265137,97.2300033569336,1404.75,7.25,189.0,0.47,0.022690458934018665,0.025362503337362046,6.4
2013-04-30,2.00570011138916,55910.0,81.7300033569336,13.520000457763672,93.45999908447266,1467.75,7.5,171.0,0.55,-0.006685803598217022,0.01704913694236423,6.31
2013-05-31,2.1077001094818115,53506.0,83.37999725341797,16.299999237060547,91.97000122070312,1510.0,8.0,206.0,0.37,0.050855059294983906,0.02877255757473851,6.32
2013-06-30,2.1958999633789062,47457.0,83.16999816894531,16.860000610351562,96.55999755859376,1564.5,8.0,237.0,0.26,0.04184649111147931,0.03095019879580692,6.5
2013-07-31,2.279400110244751,48234.0,81.44999694824219,13.449999809265137,105.02999877929688,1374.0,8.5,235.0,0.03,0.03802547850921223,0.006587267784169798,6.1
2013-08-31,2.356100082397461,50008.0,82.08999633789062,17.010000228881836,107.6500015258789,1424.0,9.0,251.0,0.24,0.03364919208698036,0.004101782772021968,5.930000000000001
2013-09-30,2.2227001190185547,52338.0,80.22000122070312,16.600000381469727,102.33000183105467,1282.75,9.0,236.0,0.35,-0.05661897148408246,0.053424503042260194,5.71
2013-10-31,2.1810998916625977,54256.0,80.19999694824219,13.75,96.37999725341795,1280.25,9.5,220.0,0.57,-0.018716077351147997,0.04532676211223041,5.69
2013-11-30,2.3148999214172363,52482.0,80.68000030517578,13.699999809265137,92.72000122070312,1336.5,10.0,247.0,0.54,0.06134520948173816,0.060224561744533785,5.63
2013-12-31,2.359299898147583,51507.0,80.04000091552734,13.720000267028809,98.41999816894533,1312.5,10.0,224.0,0.92,0.019180084771510897,0.0400496077691853,5.76
2014-01-31,2.408799886703491,47639.0,81.2699966430664,18.40999984741211,97.48999786376952,1282.75,10.5,272.0,0.55,0.020980795444772937,0.023841232564982048,5.45
2014-02-28,2.319000005722046,47094.0,79.77999877929688,14.0,102.58999633789062,1414.25,10.75,245.0,0.69,-0.03727992577429873,0.0331292594411851,5.539999999999999
2014-03-31,2.256099939346313,50415.0,80.0999984741211,13.880000114440918,101.58000183105467,1464.0,10.75,228.0,0.92,-0.027123788797123405,0.03112209767017434,5.99
2014-04-30,2.2332000732421875,51626.0,79.48999786376953,13.40999984741211,99.73999786376952,1530.75,11.0,211.0,0.67,-0.010150200221520578,0.013706882918215679,6.11
2014-05-31,2.223599910736084,51239.0,80.37000274658203,11.399999618530272,102.70999908447266,1493.25,11.0,208.0,0.46,-0.004298836732602229,0.011855516300868563,6.2
2014-06-30,2.191800117492676,53168.0,79.77999877929688,11.56999969482422,105.37000274658205,1400.5,11.0,208.0,0.4,-0.014301040888637817,0.005025137160686043,6.34
2014-07-31,2.2437000274658203,55829.0,81.45999908447266,16.950000762939453,98.16999816894533,1224.5,11.0,212.0,0.01,0.02367912546355533,0.01968630443044475,6.32
2014-08-31,2.2372000217437744,61288.0,82.75,12.09000015258789,95.95999908447266,1089.5,11.0,205.0,0.25,-0.0028970030050707862,0.01948861086451523,6.33
2014-09-30,2.44350004196167,54116.0,85.94000244140625,16.309999465942383,91.16000366210938,913.25,11.0,239.0,0.57,0.09221348927803774,0.049073508417087915,6.55
2014-10-31,2.401599884033203,54629.0,86.87999725341797,14.029999732971191,80.54000091552734,1046.5,11.25,233.0,0.42,-0.017147598612205828,0.05945437012537558,6.3999999999999995
2014-11-30,2.5271999835968018,54664.0,88.36000061035156,13.329999923706056,66.1500015258789,1016.0,11.25,238.0,0.51,0.05229851167075683,0.05534108662853293,6.369999999999999
2014-12-31,2.654099941253662,50007.0,90.2699966430664,19.200000762939453,53.27000045776367,1019.25,11.75,259.0,0.78,0.05021365878463313,0.03950664046096844,6.2299999999999995
2015-01-31,2.6001999378204346,46908.0,94.8000030517578,20.96999931335449,48.2400016784668,961.0,12.25,324.0,1.24,-0.02030820414688983,0.041330809623318095,6.92
2015-02-28,2.9049999713897705,51583.0,95.25,13.34000015258789,49.7599983215332,1030.75,12.25,322.0,1.22,0.11722176788636807,0.06877246668567202,7.45
2015-03-31,3.2260000705718994,51150.0,98.36000061035156,15.289999961853027,47.59999847412109,973.25,12.75,322.0,1.32,0.11049917464493486,0.07753521438003333,7.85
2015-04-30,2.952699899673462,56229.0,94.5999984741211,14.550000190734863,59.630001068115234,978.5,13.25,295.0,0.71,-0.08471796804703335,0.11469857817308078,7.89
2015-05-31,3.158400058746338,52760.0,96.91000366210938,13.84000015258789,60.29999923706055,934.0,13.25,294.0,0.74,0.06966510856576535,0.10296543764601104,8.17
2015-06-30,3.115000009536743,53081.0,95.48999786376952,18.229999542236328,59.470001220703125,1056.25,13.75,304.0,0.79,-0.013741150076732711,0.07727488489623882,8.56
2015-07-31,3.370800018310547,50865.0,97.37000274658205,12.119999885559082,47.119998931884766,980.75,14.25,315.0,0.62,0.0821187826615275,0.0521229710777096,9.17
2015-08-31,3.578700065612793,46626.0,95.9499969482422,28.43000030517578,49.20000076293945,897.5,14.25,340.0,0.22,0.061676766990895526,0.05048904984265034,9.14
2015-09-30,4.054399967193604,45059.0,96.3499984741211,24.5,45.09000015258789,892.0,14.25,442.0,0.54,0.13292533402051276,0.036686827721144045,9.11
2015-10-31,3.84470009803772,45869.0,96.9499969482422,15.06999969482422,46.59000015258789,883.75,14.25,410.0,0.82,-0.0517215545710048,0.09312179399703586,9.51
2015-11-30,3.841399908065796,45120.0,100.16999816894533,16.1299991607666,41.650001525878906,881.0,14.25,432.0,1.01,-0.0008583738361306326,0.09537611258317295,10.01
2015-12-31,3.956700086593628,43350.0,98.62999725341795,18.209999084472656,37.040000915527344,871.25,14.25,523.0,0.96,0.03001514585496179,0.04127373169686537,10.19
2016-01-31,4.066999912261963,40406.0,99.61000061035156,20.200000762939453,33.619998931884766,882.25,14.25,512.0,1.27,0.027876721321906883,0.017240711370383983,10.219999999999999
2016-02-29,3.9646999835968018,42794.0,98.20999908447266,20.549999237060547,33.75,853.0,14.25,502.0,0.9,-0.025153658930930356,0.03125270951119804,9.9
2016-03-31,3.596100091934204,50055.0,94.58999633789062,13.949999809265137,38.34000015258789,910.75,14.25,409.0,0.43,-0.09297043740701949,0.06057415901946117,9.01
2016-04-30,3.479700088500977,53911.0,93.08000183105467,15.699999809265137,45.91999816894531,1021.0,14.25,385.0,0.61,-0.032368399226235134,0.03724642030242397,8.91
